step,time,mass,mass_drift,min_psihat,neg_mass,fp_tol_used
59,0.059000000000000004,5.8904858689666160e+00,2.6603649937405163e-11,2.6349028910858004e-03,0.0000000000000000e+00,1.0e-02
60,0.06,5.8904858689698383e+00,2.7150686528008694e-11,2.6001284967922932e-03,0.0000000000000000e+00,1.0e-02
61,0.061,5.8904858689730748e+00,2.7700135628383355e-11,2.5778262969929407e-03,0.0000000000000000e+00,1.0e-02
62,0.062,5.8904858689763220e+00,2.8251394111086362e-11,2.5662030876847652e-03,0.0000000000000000e+00,1.0e-02
63,0.063,5.8904858689795816e+00,2.8804763539839109e-11,2.5637415913617248e-03,0.0000000000000000e+00,1.0e-02
64,0.064,5.8904858689828519e+00,2.9359942350920203e-11,2.5690784841083669e-03,0.0000000000000000e+00,1.0e-02
65,0.065,5.8904858689861328e+00,2.9916930544329644e-11,2.5809354195992854e-03,0.0000000000000000e+00,1.0e-02
66,0.066,5.8904858689894146e+00,3.0474069519599779e-11,2.5981679513031371e-03,0.0000000000000000e+00,1.0e-02
67,0.067,5.8904858689927151e+00,3.1034374913944517e-11,2.6195865671641838e-03,0.0000000000000000e+00,1.0e-02
68,0.068,5.8904858689960413e+00,3.1599052982249430e-11,2.6442832409005468e-03,0.0000000000000000e+00,1.0e-02
69,0.069,5.8904858689993818e+00,3.2166143560325472e-11,2.6715294579600438e-03,0.0000000000000000e+00,1.0e-02
70,0.07,5.8904858690027257e+00,3.2733837265844299e-11,2.7006633126984841e-03,0.0000000000000000e+00,1.0e-02
71,0.07100000000000001,5.8904858690060813e+00,3.3303491135552164e-11,2.7312524829385468e-03,0.0000000000000000e+00,1.0e-02
72,0.07200000000000001,5.8904858690094466e+00,3.3874803605727685e-11,2.7629008120468139e-03,0.0000000000000000e+00,1.0e-02
73,0.073,5.8904858690128243e+00,3.4448227021952939e-11,2.7952742368873643e-03,0.0000000000000000e+00,1.0e-02
74,0.074,5.8904858690162127e+00,3.5023459820506543e-11,2.8279654423283909e-03,0.0000000000000000e+00,1.0e-02
75,0.075,5.8904858690196100e+00,3.5600200437667108e-11,-2.1744737027114824e-03,-8.9577420075719158e-20,1.0e-02
76,0.076,5.8904858690230135e+00,3.6177996527852536e-11,2.8928903110064814e-03,0.0000000000000000e+00,1.0e-02
77,0.077,5.8904858690264259e+00,3.6757300436644919e-11,2.9244788739031056e-03,0.0000000000000000e+00,1.0e-02
78,0.078,5.8904858690298445e+00,3.7337659818462171e-11,2.9551279488152105e-03,0.0000000000000000e+00,1.0e-02
79,0.079,5.8904858690332702e+00,3.7919225455164987e-11,2.9846219270457282e-03,0.0000000000000000e+00,1.0e-02
80,0.08,5.8904858690367021e+00,3.8501846564892674e-11,3.0127905503674422e-03,0.0000000000000000e+00,1.0e-02
81,0.081,5.8904858690401403e+00,3.9085523147645230e-11,3.0395077532756592e-03,0.0000000000000000e+00,1.0e-02
82,0.082,5.8904858690435855e+00,3.9670405985283351e-11,3.0646921413593365e-03,0.0000000000000000e+00,1.0e-02
83,0.083,5.8904858690470387e+00,4.0256645859667731e-11,3.0883109632540342e-03,0.0000000000000000e+00,1.0e-02
84,0.084,5.8904858690504955e+00,4.0843488861494890e-11,3.1103846067430819e-03,0.0000000000000000e+00,1.0e-02
85,0.085,5.8904858690539603e+00,4.1431688900068315e-11,3.1309881908804134e-03,0.0000000000000000e+00,1.0e-02
86,0.08600000000000001,5.8904858690574304e+00,4.2020793629805909e-11,3.1502404394325697e-03,0.0000000000000000e+00,1.0e-02
87,0.08700000000000001,5.8904858690609068e+00,4.2610953832568379e-11,3.1682826920638955e-03,0.0000000000000000e+00,1.0e-02
88,0.088,5.8904858690643884e+00,4.3202018726495017e-11,3.1852406075106275e-03,0.0000000000000000e+00,1.0e-02
89,0.089,5.8904858690678727e+00,4.3793535966003740e-11,3.2011813382709382e-03,0.0000000000000000e+00,1.0e-02
90,0.09,5.8904858690713624e+00,4.4385957896676638e-11,3.2160728255828906e-03,0.0000000000000000e+00,1.0e-02
91,0.091,5.8904858690748529e+00,4.4978530609210231e-11,3.2297590201187162e-03,0.0000000000000000e+00,1.0e-02
92,0.092,5.8904858690783470e+00,4.5571706449186609e-11,3.2419626315064280e-03,0.0000000000000000e+00,1.0e-02
93,0.093,5.8904858690818394e+00,4.6164580725441597e-11,3.2523159969292687e-03,0.0000000000000000e+00,1.0e-02
94,0.094,5.8904858690853370e+00,4.6758359692860755e-11,3.2604067588893051e-03,0.0000000000000000e+00,1.0e-02
95,0.095,5.8904858690888489e+00,4.7354551170051041e-11,3.2658607022207995e-03,0.0000000000000000e+00,1.0e-02
96,0.096,5.8904858690923652e+00,4.7951496556544808e-11,3.2683616735341521e-03,0.0000000000000000e+00,1.0e-02
97,0.097,5.8904858690958815e+00,4.8548441943038574e-11,3.2676963133829798e-03,0.0000000000000000e+00,1.0e-02
98,0.098,5.8904858690993969e+00,4.9145236547671640e-11,3.2637477540263613e-03,0.0000000000000000e+00,1.0e-02
99,0.099,5.8904858691029141e+00,4.9742332716026101e-11,3.2564896867450293e-03,0.0000000000000000e+00,1.0e-02
100,0.1,5.8904858691064241e+00,5.0338222629494998e-11,3.2460100774546977e-03,0.0000000000000000e+00,1.0e-02
101,0.101,5.8904858691099502e+00,5.0936826616456420e-11,3.2323851211628367e-03,0.0000000000000000e+00,1.0e-02
102,0.10200000000000001,5.8904858691134780e+00,5.1535732167139225e-11,-1.1752836473238472e-02,-4.6198660139467170e-19,1.0e-02
103,0.10300000000000001,5.8904858691170032e+00,5.2134185372239946e-11,3.1961028323407078e-03,0.0000000000000000e+00,1.0e-02
104,0.10400000000000001,5.8904858691205284e+00,5.2732638577340666e-11,3.1738320779526926e-03,0.0000000000000000e+00,1.0e-02
105,0.105,5.8904858691240509e+00,5.3330639436859303e-11,3.1491236276171069e-03,0.0000000000000000e+00,1.0e-02
106,0.106,5.8904858691275734e+00,5.3928640296377939e-11,3.1222229712281344e-03,0.0000000000000000e+00,1.0e-02
107,0.107,5.8904858691310960e+00,5.4526641155896576e-11,3.0933997194918907e-03,0.0000000000000000e+00,1.0e-02
108,0.108,5.8904858691346167e+00,5.5124340451693816e-11,3.0629532289910286e-03,0.0000000000000000e+00,1.0e-02
109,0.109,5.8904858691381348e+00,5.5721587401908972e-11,3.0312155724210466e-03,0.0000000000000000e+00,1.0e-02
110,0.11,5.8904858691416502e+00,5.6318382006542044e-11,2.9985513845942943e-03,0.0000000000000000e+00,1.0e-02
111,0.111,5.8904858691451638e+00,5.6914875047453720e-11,2.9653532729970403e-03,0.0000000000000000e+00,1.0e-02
112,0.112,5.8904858691486739e+00,5.7510764960922617e-11,2.9320306169746090e-03,0.0000000000000000e+00,1.0e-02
113,0.113,5.8904858691521813e+00,5.8106202528809430e-11,2.8989898331635601e-03,0.0000000000000000e+00,1.0e-02
114,0.114,5.8904858691556878e+00,5.8701489314835541e-11,2.8666011109780027e-03,0.0000000000000000e+00,1.0e-02
115,0.115,5.8904858691591890e+00,5.9295871409697484e-11,2.8351615833468076e-03,0.0000000000000000e+00,1.0e-02
116,0.116,5.8904858691626867e+00,5.9889650377116647e-11,2.8048507143491851e-03,0.0000000000000000e+00,1.0e-02
117,0.117,5.8904858691661808e+00,6.0482826217093019e-11,2.7756957032758628e-03,0.0000000000000000e+00,1.0e-02
118,0.11800000000000001,5.8904858691696713e+00,6.1075398929626612e-11,2.7475569060586100e-03,0.0000000000000000e+00,1.0e-02
119,0.11900000000000001,5.8904858691731565e+00,6.1667066950996036e-11,2.7201476887113805e-03,0.0000000000000000e+00,1.0e-02
120,0.12,5.8904858691766364e+00,6.2257830281201278e-11,2.6930840289529304e-03,0.0000000000000000e+00,1.0e-02
121,0.121,5.8904858691801056e+00,6.2846784229078184e-11,2.6659397469140263e-03,0.0000000000000000e+00,1.0e-02
122,0.122,5.8904858691835855e+00,6.3437547559283426e-11,2.6383303395972908e-03,0.0000000000000000e+00,1.0e-02
123,0.123,5.8904858691870627e+00,6.4027858543906591e-11,2.6100032773055462e-03,0.0000000000000000e+00,1.0e-02
124,0.124,5.8904858691905257e+00,6.4615757018758626e-11,2.5808222343409303e-03,0.0000000000000000e+00,1.0e-02
125,0.125,5.8904858691939888e+00,6.5203655493610649e-11,2.5507795954656590e-03,0.0000000000000000e+00,1.0e-02
126,0.126,5.8904858691974438e+00,6.5790196931716425e-11,2.5199573113677317e-03,0.0000000000000000e+00,1.0e-02
127,0.127,5.8904858692008890e+00,6.6375079769354539e-11,2.4884958362303162e-03,0.0000000000000000e+00,1.0e-02
128,0.128,5.8904858692043254e+00,6.6958454788385706e-11,2.4565666374152910e-03,0.0000000000000000e+00,1.0e-02
129,0.129,5.8904858692077546e+00,6.7540623552531315e-11,2.4243762395979775e-03,0.0000000000000000e+00,1.0e-02
130,0.13,5.8904858692111874e+00,6.8123395444119689e-11,-5.4485271815296402e-03,-2.1417353682517228e-19,1.0e-02
131,0.131,5.8904858692146114e+00,6.8704659517101117e-11,-7.6208418462699323e-03,-2.9956401012992325e-19,1.0e-02
132,0.132,5.8904858692180255e+00,6.9284264989614895e-11,2.3276813970816088e-03,0.0000000000000000e+00,1.0e-02
133,0.133,5.8904858692214308e+00,6.9862362643521712e-11,2.2959674906548391e-03,0.0000000000000000e+00,1.0e-02
134,0.134,5.8904858692248272e+00,7.0438952478821582e-11,2.2648233122873930e-03,0.0000000000000000e+00,1.0e-02
135,0.135,5.8904858692282138e+00,7.1013883713653791e-11,2.2344351778755076e-03,0.0000000000000000e+00,1.0e-02
136,0.136,5.8904858692315925e+00,7.1587457911739739e-11,2.2049927016231478e-03,0.0000000000000000e+00,1.0e-02
137,0.137,5.8904858692349631e+00,7.2159675073079429e-11,2.1766992113639305e-03,0.0000000000000000e+00,1.0e-02
138,0.138,5.8904858692383222e+00,7.2729932070230080e-11,2.1497692666279811e-03,0.0000000000000000e+00,1.0e-02
139,0.139,5.8904858692416706e+00,7.3298379685052381e-11,2.1244170323300535e-03,0.0000000000000000e+00,1.0e-02
140,0.14,5.8904858692450111e+00,7.3865470263128423e-11,2.1008363536107032e-03,0.0000000000000000e+00,1.0e-02
141,0.14100000000000001,5.8904858692483382e+00,7.4430299113294036e-11,2.0791732097505660e-03,0.0000000000000000e+00,1.0e-02
142,0.14200000000000002,5.8904858692516564e+00,7.4993620144852689e-11,2.0594936606863276e-03,0.0000000000000000e+00,1.0e-02
143,0.14300000000000002,5.8904858692549631e+00,7.5554981012222304e-11,2.0417545925451412e-03,0.0000000000000000e+00,1.0e-02
144,0.14400000000000002,5.8904858692582600e+00,7.6114683279124257e-11,2.0257878993042242e-03,0.0000000000000000e+00,1.0e-02
145,0.145,5.8904858692615436e+00,7.6672123818115782e-11,2.0113084164971682e-03,0.0000000000000000e+00,1.0e-02
146,0.146,5.8904858692648165e+00,7.7227754974778970e-11,1.9979499300506187e-03,0.0000000000000000e+00,1.0e-02
147,0.147,5.8904858692680762e+00,7.7781124403531717e-11,1.9853230273267786e-03,0.0000000000000000e+00,1.0e-02
148,0.148,5.8904858692713242e+00,7.8332533668095413e-11,1.9730715617105789e-03,0.0000000000000000e+00,1.0e-02
149,0.149,5.8904858692745625e+00,7.8882284332191472e-11,1.9609310915137106e-03,0.0000000000000000e+00,1.0e-02
150,0.15,5.8904858692777999e+00,7.9431884214426831e-11,1.9487291169731427e-03,0.0000000000000000e+00,1.0e-02
151,0.151,5.8904858692810231e+00,7.9979071586891047e-11,-5.0947594261503554e-03,-1.9728696933713420e-19,1.0e-02
152,0.152,5.8904858692842321e+00,8.0523846449584147e-11,1.9240812348168268e-03,0.0000000000000000e+00,1.0e-02
153,0.153,5.8904858692874278e+00,8.1066359584366819e-11,1.9117653323550299e-03,0.0000000000000000e+00,1.0e-02
154,0.154,5.8904858692906146e+00,8.1607364900542518e-11,1.8995769532972589e-03,0.0000000000000000e+00,1.0e-02
155,0.155,5.8904858692937871e+00,8.2145957706947100e-11,-3.5171731621517627e-03,-1.4842216706627875e-19,1.0e-02
156,0.156,5.8904858692969446e+00,8.2681987221719852e-11,1.8759429932436334e-03,0.0000000000000000e+00,1.0e-02
157,0.157,5.8904858693000861e+00,8.3215302663000099e-11,1.8646622713563207e-03,0.0000000000000000e+00,1.0e-02
158,0.158,5.8904858693032178e+00,8.3746959503812670e-11,1.8538257644044303e-03,0.0000000000000000e+00,1.0e-02
159,0.159,5.8904858693063371e+00,8.4276505398575528e-11,1.8434952000615113e-03,0.0000000000000000e+00,1.0e-02
160,0.16,5.8904858693094386e+00,8.4803035656124452e-11,1.8337751948361760e-03,0.0000000000000000e+00,1.0e-02
161,0.161,5.8904858693125330e+00,8.5328359658787830e-11,1.8247131373054226e-03,0.0000000000000000e+00,1.0e-02
162,0.162,5.8904858693156124e+00,8.5851120369819365e-11,-3.1381132329778294e-02,-1.2335458513323403e-18,1.0e-02
163,0.163,5.8904858693186757e+00,8.6371167007358395e-11,1.8090857484345489e-03,0.0000000000000000e+00,1.0e-02
164,0.164,5.8904858693217239e+00,8.6888650353265594e-11,1.8028212010525839e-03,0.0000000000000000e+00,1.0e-02
165,0.165,5.8904858693247553e+00,8.7403268843819573e-11,1.7977770919382734e-03,0.0000000000000000e+00,1.0e-02
166,0.166,5.8904858693277733e+00,8.7915625606463124e-11,1.7941568682096863e-03,0.0000000000000000e+00,1.0e-02
167,0.167,5.8904858693307753e+00,8.8425268295614157e-11,1.7921181054894996e-03,0.0000000000000000e+00,1.0e-02
168,0.168,5.8904858693337632e+00,8.8932498474994060e-11,1.7917691909771841e-03,0.0000000000000000e+00,1.0e-02
169,0.169,5.8904858693367341e+00,8.9436863799020743e-11,1.7931399613863586e-03,0.0000000000000000e+00,1.0e-02
170,0.17,5.8904858693396900e+00,8.9938665831415609e-11,1.7961549119280603e-03,0.0000000000000000e+00,1.0e-02
171,0.171,5.8904858693426281e+00,9.0437452226596554e-11,1.8006229904484264e-03,0.0000000000000000e+00,1.0e-02
172,0.17200000000000001,5.8904858693455511e+00,9.0933675330145681e-11,1.8062527251275651e-03,0.0000000000000000e+00,1.0e-02
173,0.17300000000000001,5.8904858693484563e+00,9.1426882796480888e-11,1.8126934603196476e-03,0.0000000000000000e+00,1.0e-02
174,0.17400000000000002,5.8904858693513429e+00,9.1916923843741497e-11,1.8195917594067950e-03,0.0000000000000000e+00,1.0e-02
175,0.17500000000000002,5.8904858693542197e+00,9.2405306290534458e-11,1.8266478757485230e-03,0.0000000000000000e+00,1.0e-02
176,0.176,5.8904858693570779e+00,9.2890522318252796e-11,1.8336562730436375e-03,0.0000000000000000e+00,1.0e-02
177,0.177,5.8904858693599218e+00,9.3373325836200019e-11,1.8405096652345659e-03,0.0000000000000000e+00,1.0e-02
178,0.178,5.8904858693627524e+00,9.3853867626236800e-11,1.8471718889314908e-03,0.0000000000000000e+00,1.0e-02
179,0.179,5.8904858693655680e+00,9.4331846124641764e-11,1.8536673385860809e-03,0.0000000000000000e+00,1.0e-02
180,0.18,5.8904858693683657e+00,9.4806808985832806e-11,1.8600640573994669e-03,0.0000000000000000e+00,1.0e-02
181,0.181,5.8904858693711457e+00,9.5278756209809954e-11,1.8664310846895453e-03,0.0000000000000000e+00,1.0e-02
182,0.182,5.8904858693739106e+00,9.5748140142155258e-11,1.8728357044680618e-03,0.0000000000000000e+00,1.0e-02
183,0.183,5.8904858693766613e+00,9.6215111564729446e-11,1.8793407238288286e-03,0.0000000000000000e+00,1.0e-02
184,0.184,5.8904858693793951e+00,9.6679218131950414e-11,-8.0229949800532385e-04,-3.3856459332609792e-20,1.0e-02
185,0.185,5.8904858693821094e+00,9.7140007498236084e-11,1.8928919991299704e-03,0.0000000000000000e+00,1.0e-02
186,0.186,5.8904858693848086e+00,9.7598233572889924e-11,1.9000765457592318e-03,0.0000000000000000e+00,1.0e-02
187,0.187,5.8904858693874917e+00,9.8053745574051245e-11,1.9076208786343515e-03,0.0000000000000000e+00,1.0e-02
188,0.188,5.8904858693901598e+00,9.8506694283580735e-11,1.9156238448964635e-03,0.0000000000000000e+00,1.0e-02
189,0.189,5.8904858693928093e+00,9.8956476574035617e-11,1.9242135457786455e-03,0.0000000000000000e+00,1.0e-02
190,0.19,5.8904858693954418e+00,9.9403394009137291e-11,1.9335734927351574e-03,0.0000000000000000e+00,1.0e-02
191,0.191,5.8904858693980611e+00,9.9848049716328537e-11,-4.5419349118255153e-03,-1.7853673693563196e-19,1.0e-02
192,0.192,5.8904858694006617e+00,1.0028953900444516e-10,1.9553000695813217e-03,0.0000000000000000e+00,1.0e-02
193,0.193,5.8904858694032427e+00,1.0072771109162650e-10,1.9681109841126442e-03,0.0000000000000000e+00,1.0e-02
194,0.194,5.8904858694058060e+00,1.0116286754159392e-10,1.9824784999290593e-03,0.0000000000000000e+00,1.0e-02
195,0.195,5.8904858694083506e+00,1.0159485757248673e-10,1.9985770300851267e-03,0.0000000000000000e+00,1.0e-02
196,0.196,5.8904858694108784e+00,1.0202398274802632e-10,2.0164613176502384e-03,0.0000000000000000e+00,1.0e-02
197,0.197,5.8904858694133893e+00,1.0245024306821270e-10,2.0360545360284879e-03,0.0000000000000000e+00,1.0e-02
198,0.198,5.8904858694158815e+00,1.0287333696932447e-10,2.0571401178112493e-03,0.0000000000000000e+00,1.0e-02
199,0.199,5.8904858694183559e+00,1.0329341523322233e-10,2.0793818873548510e-03,0.0000000000000000e+00,1.0e-02
200,0.2,5.8904858694208100e+00,1.0371002551432420e-10,2.1023746825724783e-03,0.0000000000000000e+00,1.0e-02
201,0.201,5.8904858694232480e+00,1.0412392172193354e-10,2.1257154185169921e-03,0.0000000000000000e+00,1.0e-02
202,0.202,5.8904858694256719e+00,1.0453540541977175e-10,2.1490616093232714e-03,0.0000000000000000e+00,1.0e-02
203,0.203,5.8904858694280762e+00,1.0494357191667467e-10,2.1721707284563050e-03,0.0000000000000000e+00,1.0e-02
204,0.20400000000000001,5.8904858694304618e+00,1.0534857199450296e-10,2.1949086854634089e-03,0.0000000000000000e+00,1.0e-02
205,0.20500000000000002,5.8904858694328333e+00,1.0575115956256015e-10,2.2172299919583829e-03,0.0000000000000000e+00,1.0e-02
206,0.20600000000000002,5.8904858694351860e+00,1.0615058071154270e-10,2.2391517806295350e-03,0.0000000000000000e+00,1.0e-02
207,0.20700000000000002,5.8904858694375184e+00,1.0654653387772928e-10,2.2607256430245831e-03,0.0000000000000000e+00,1.0e-02
208,0.20800000000000002,5.8904858694398383e+00,1.0694037609786611e-10,2.2820154400998785e-03,0.0000000000000000e+00,1.0e-02
209,0.209,5.8904858694421387e+00,1.0733090111706764e-10,-6.9633820999512180e-03,-2.6964659877451147e-19,1.0e-02
210,0.21,5.8904858694444222e+00,1.0771856128091595e-10,2.3240112308880474e-03,0.0000000000000000e+00,1.0e-02
211,0.211,5.8904858694466871e+00,1.0810305502568966e-10,2.3448529315646411e-03,0.0000000000000000e+00,1.0e-02
212,0.212,5.8904858694489377e+00,1.0848513626069224e-10,2.3656864882740779e-03,0.0000000000000000e+00,1.0e-02
213,0.213,5.8904858694511706e+00,1.0886420185848090e-10,2.3865982577101000e-03,0.0000000000000000e+00,1.0e-02
214,0.214,5.8904858694533857e+00,1.0924025181905566e-10,2.4077067914100962e-03,0.0000000000000000e+00,1.0e-02
215,0.215,5.8904858694555866e+00,1.0961388926985927e-10,2.4291477713408657e-03,0.0000000000000000e+00,1.0e-02
216,0.216,5.8904858694577698e+00,1.0998451108344900e-10,2.4510709976069203e-03,0.0000000000000000e+00,1.0e-02
217,0.217,5.8904858694599387e+00,1.1035272038726758e-10,2.4736810691290845e-03,0.0000000000000000e+00,1.0e-02
218,0.218,5.8904858694620899e+00,1.1071791405387225e-10,2.4972580704028056e-03,0.0000000000000000e+00,1.0e-02
219,0.219,5.8904858694642241e+00,1.1108024286512371e-10,2.5220976532190353e-03,0.0000000000000000e+00,1.0e-02
220,0.22,5.8904858694663389e+00,1.1143925447543987e-10,2.5485100131326863e-03,0.0000000000000000e+00,1.0e-02
221,0.221,5.8904858694684368e+00,1.1179540123040280e-10,2.5768269635302720e-03,0.0000000000000000e+00,1.0e-02
222,0.222,5.8904858694705240e+00,1.1214973860303739e-10,-5.6958651584724865e-03,-2.2389602650873486e-19,1.0e-02
223,0.223,5.8904858694725917e+00,1.1250075877473669e-10,2.6398619910575540e-03,0.0000000000000000e+00,1.0e-02
224,0.224,5.8904858694746416e+00,1.1284876330922207e-10,2.6746551653711054e-03,0.0000000000000000e+00,1.0e-02
